  1      LUNA (USES LUNA RANGER STATION)
       1       1
   33.49
    2021  0.39  0.26  0.30  0.37  0.09  0.39  2.95  2.01  2.07  0.42  0.06  1.64
    2022  0.66  0.11  0.09  0.00  0.00  2.37  3.45  5.49  2.14  2.46  0.44  2.19
    2023  1.53  0.35  1.22  0.00  0.56  0.25  0.73  1.57  1.48  0.33  0.81  1.52
    2024  1.36  1.43  2.23  0.49  0.05  0.55  4.11  2.38  0.79  0.59  0.73  0.00
   31.35   31.90
    1968  26.6  36.0  36.9  41.5  50.1  59.9  63.5  59.8  54.4  48.0  36.2  26.8
    1969  34.0  35.2  34.2  44.1  51.0  59.2  65.9  66.2  57.7  46.4  35.2  36.7
    1970  27.8  35.7  34.6  38.5  50.9  56.9  67.6  64.1  55.6  43.1  37.5  30.6
    1971  29.8  31.6  39.9  41.4  49.7  59.2  67.2  62.7  57.0  44.6  37.2  27.0
    1972  31.5  33.6  42.4  43.7  49.4  59.6  64.9  62.2  56.4  49.4  33.3  31.0
    1973  27.7  32.4  34.0  39.9  51.0  58.2  64.7  62.7  56.0  46.4  37.9  32.0
    1974  32.1  31.0  41.1  42.6  52.6  62.5  64.8  61.0  55.7  48.7  36.4  27.5
    1975  28.5  33.6  35.8  43.9  52.2  57.2  66.2  65.2  59.3  48.5  37.5  31.3
    1976  29.8  33.9  34.3  35.1  49.9  53.1  60.1  57.1  52.9  48.7  34.9  30.1
    1977  26.8  31.0  31.4  39.1  43.9  59.3  64.7  63.3  58.1  49.1  37.6  35.6
    1978  32.4  32.6  39.7  43.9  48.9  59.6  66.1  61.6  57.6  49.7  40.8  31.1
    1979  27.2  30.0  37.4  42.0  49.6  58.3  64.4  61.3  58.7  49.5  32.0  30.3
    1980  32.8  34.6  36.7  42.4  48.7  59.5  66.5  62.6  57.6  44.1  35.9  34.7
    1981  33.6  33.0  34.6  45.2  50.0  62.3  65.5  62.9  56.4  47.8  37.1  34.1
