 1      LUNA LOCALE
 2      APACHE-ARAGON LOCALE
 3      RESERVE LOCALE
 4      GLENWOOD LOCALE
 5      UPPER GILA LOCALE
 6      CLIFF-GILA LOCALE
 7      REDROCK LOCALE
 8      VIRDEN VALLEY LOCALE
 9      SAN SIMON LOCALE
 1      LUNA
   33.49
       1       7       1       1
       5       3      28      29       6       1      25
      0.
    2015   150.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0    99.4     0.0     0.0     0.6
    2016   125.3     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0    96.3     0.0     0.0     3.7
    2017   158.8     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0    94.4     0.0     0.0     5.6
    2018   100.5     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0    95.4     0.0     0.0     4.6
    2019   108.1     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0    98.9     0.0     0.0     1.1
    2020   114.4     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0    97.0     0.0     0.0     3.0
    2021    52.2     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0    91.2     0.0     0.0     8.8
    2022    67.7     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0    93.1     0.0     0.0     6.9
    2023   136.8     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0    96.5     0.0     0.0     3.5
    2024   183.4     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0    97.4     0.0     0.0     2.6
    1968   100.0    10.0     0.0     2.0     0.0     0.0     0.0
    1969   100.0    10.0     0.0     2.0     0.0     0.0     0.0
    1970   100.0    10.0     0.0     2.0     0.0     0.0     0.0
    1971   100.0    10.0     0.0     2.0     0.0     0.0     0.0
    1972   100.0    10.0     0.0     2.0     0.0     0.0     0.0
    1973   100.0    10.0     0.0     2.0     0.0     0.0     0.0
    1974   100.0    10.0     0.0     2.0     0.0     0.0     0.0
    1975   100.0    10.0     0.0     2.0     0.0     0.0     0.0
    1976   100.0    10.0     0.0     2.0     0.0     0.0     0.0
    1977   100.0    10.0     0.0     2.0     0.0     0.0     0.0
    1978   100.0    10.0     0.0     2.0     0.0     0.0     0.0
    1979   100.0    10.0     0.0     2.0     0.0     0.0     0.0
    1980   100.0    10.0     0.0     2.0     0.0     0.0     0.0
    1981   100.0    10.0     0.0     2.0     0.0     0.0     0.0
    1982   100.0    10.0     0.0     2.0     0.0     0.0     0.0
    1983   100.0    10.0     0.0     2.0     0.0     0.0     0.0
    1984   100.0    10.0     0.0     2.0     0.0     0.0     0.0
    1985   100.0    10.0     0.0     2.0     0.0     0.0     0.0
    1986   100.0    10.0     0.0     2.0     0.0     0.0     0.0
    1987   100.0    10.0     0.0     2.0     0.0     0.0     0.0
    1988   100.0    10.0     0.0     2.0     0.0     0.0     0.0
    1989   100.0    10.0     0.0     2.0     0.0     0.0     0.0
    1990   100.0    10.0     0.0     2.0     0.0     0.0     0.0
    1991   100.0    10.0     0.0     2.0     0.0     0.0     0.0
    1992   100.0    10.0     0.0     2.0     0.0     0.0     0.0
    1993   100.0    10.0     0.0     2.0     0.0     0.0     0.0
    1994   100.0    10.0     0.0     2.0     0.0     0.0     0.0
    1995   100.0    10.0     0.0     2.0     0.0     0.0     0.0
    1996   100.0    10.0     0.0     2.0     0.0     0.0     0.0
    1997   100.0    10.0     0.0     2.0     0.0     0.0     0.0
    1998   100.0    10.0     0.0     2.0     0.0     0.0     0.0
    1999   100.0    10.0     0.0     2.0     0.0     0.0     0.0
    2000   100.0    10.0     0.0     2.0     0.0     0.0     0.0
    2001   100.0    10.0     0.0     2.0     0.0     0.0     0.0
    2002   100.0    10.0     0.0     2.0     0.0     0.0     0.0
    2003   100.0    10.0     0.0     2.0     0.0     0.0     0.0
    2004   100.0    10.0     0.0     2.0     0.0     0.0     0.0
    2005   100.0    10.0     0.0     2.0     0.0     0.0     0.0
    2006   100.0    10.0     0.0     2.0     0.0     0.0     0.0
