      30       1      30
 1    Alfalfa
PR       50.   28.  0.85  0.50  365.
    1.   15.   32.   46.   60.   74.   91.  105.  121.  135.  152.  166.  182.
  196.  213.  227.  244.  258.  274.  288.  305.  319.  335.  349.  366.
  0.60  0.63  0.68  0.73  0.79  0.85  0.92  0.99 1.045  1.09  1.12 1.135  1.13
 1.115  1.09 1.065  1.03  0.99  0.95 0.905  0.85  0.79  0.72  0.64  0.60
       0
 2    Corn (grain)
AN       55.   32.  0.75  0.40  140.
    0.    5.   10.   15.   20.   25.   30.   35.   40.   45.   50.   55.   60.
   65.   70.   75.   80.   85.   90.   95.  100.
  0.44  0.46  0.49  0.53  0.58  0.64  0.71  0.82  0.92  1.01  1.05  1.08  1.08
  1.08  1.06  1.04  1.00  0.97  0.93  0.89  0.85
       1
       1    1968       6      10       9      30
       1    1969       6      10       9      30
       1    1970       6      10       9      30
       1    1971       6      10       9      30
       1    1972       6      10       9      30
       1    1973       6      10       9      30
       1    1974       6      10       9      30
       1    1975       6      10       9      30
       1    1976       6      10       9      30
       1    1977       6      10       9      30
       1    1978       6      10       9      30
       1    1979       6      10       9      30
       1    1980       6      10       9      30
       1    1981       6      10       9      30
       1    1982       6      10       9      30
       1    1983       6      10       9      30
       1    1984       6      10       9      30
       1    1985       6      10       9      30
       1    1986       6      10       9      30
       1    1987       6      10       9      30
       1    1988       6      10       9      30
       1    1989       6      10       9      30
       1    1990       6      10       9      30
       1    1991       6      10       9      30
       1    1992       6      10       9      30
       1    1993       6      10       9      30
       1    1994       6      10       9      30
       1    1995       6      10       9      30
       1    1996       6      10       9      30
       1    1997       6      10       9      30
       1    1998       6      10       9      30
       1    1999       6      10       9      30
       1    2000       6      10       9      30
       1    2001       6      10       9      30
       1    2002       6      10       9      30
       1    2003       6      10       9      30
       1    2004       6      10       9      30
       1    2005       6      10       9      30
       1    2006       6      10       9      30
       1    2007       6      10       9      30
       1    2008       6      10       9      30
       1    2009       6      10       9      30
       1    2010       6      10       9      30
       1    2011       6      10       9      30
       1    2012       6      10       9      30
       1    2013       6      10       9      30
       1    2014       6      10       9      30
       1    2015       6      10       9      30
       1    2016       6      10       9      30
       1    2017       6      10       9      30
       1    2018       6      10       9      30
       1    2019       6      10       9      30
       1    2020       6      10       9      30
       1    2021       6      10       9      30
       1    2022       6      10       9      30
       1    2023       6      10       9      30
       1    2024       6      10       9      30
       2    1968       6      10       9      30
       2    1969       6      10       9      30
       2    1970       6      10       9      30
       2    1971       6      10       9      30
       2    1972       6      10       9      30
       2    1973       6      10       9      30
       2    1974       6      10       9      30
       2    1975       6      10       9      30
       2    1976       6      10       9      30
       2    1977       6      10       9      30
       2    1978       6      10       9      30
       2    1979       6      10       9      30
       2    1980       6      10       9      30
       2    1981       6      10       9      30
       2    1982       6      10       9      30
       2    1983       6      10       9      30
       2    1984       6      10       9      30
       2    1985       6      10       9      30
       2    1986       6      10       9      30
       2    1987       6      10       9      30
       2    1988       6      10       9      30
       2    1989       6      10       9      30
       2    1990       6      10       9      30
       2    1991       6      10       9      30
       2    1992       6      10       9      30
       2    1993       6      10       9      30
       2    1994       6      10       9      30
       2    1995       6      10       9      30
       2    1996       6      10       9      30
       2    1997       6      10       9      30
       2    1998       6      10       9      30
       2    1999       6      10       9      30
       2    2000       6      10       9      30
       2    2001       6      10       9      30
       2    2002       6      10       9      30
       2    2003       6      10       9      30
       2    2004       6      10       9      30
       2    2005       6      10       9      30
       2    2006       6      10       9      30
       2    2007       6      10       9      30
       2    2008       6      10       9      30
       2    2009       6      10       9      30
       2    2010       6      10       9      30
       2    2011       6      10       9      30
       2    2012       6      10       9      30
       2    2013       6      10       9      30
       2    2014       6      10       9      30
       2    2015       6      10       9      30
       2    2016       6      10       9      30
       2    2017       6      10       9      30
       2    2018       6      10       9      30
       2    2019       6      10       9      30
       2    2020       6      10       9      30
       2    2021       6      10       9      30
       2    2022       6      10       9      30
       2    2023       6      10       9      30
       2    2024       6      10       9      30
       3    1968       6      10       9      30
       3    1969       6      10       9      30
       3    1970       6      10       9      30
       3    1971       6      10       9      30
       3    1972       6      10       9      30
       3    1973       6      10       9      30
       3    1974       6      10       9      30
       3    1975       6      10       9      30
       3    1976       6      10       9      30
       3    1977       6      10       9      30
       3    1978       6      10       9      30
       3    1979       6      10       9      30
       3    1980       6      10       9      30
       3    1981       6      10       9      30
       3    1982       6      10       9      30
       3    1983       6      10       9      30
       3    1984       6      10       9      30
       3    1985       6      10       9      30
       3    1986       6      10       9      30
       3    1987       6      10       9      30
       3    1988       6      10       9      30
       3    1989       6      10       9      30
       3    1990       6      10       9      30
       3    1991       6      10       9      30
       3    1992       6      10       9      30
       3    1993       6      10       9      30
       3    1994       6      10       9      30
       3    1995       6      10       9      30
       3    1996       6      10       9      30
       3    1997       6      10       9      30
       3    1998       6      10       9      30
       3    1999       6      10       9      30
       3    2000       6      10       9      30
       3    2001       6      10       9      30
       3    2002       6      10       9      30
       3    2003       6      10       9      30
       3    2004       6      10       9      30
       3    2005       6      10       9      30
       3    2006       6      10       9      30
       3    2007       6      10       9      30
       3    2008       6      10       9      30
       3    2009       6      10       9      30
       3    2010       6      10       9      30
       3    2011       6      10       9      30
       3    2012       6      10       9      30
       3    2013       6      10       9      30
       3    2014       6      10       9      30
       3    2015       6      10       9      30
       3    2016       6      10       9      30
       3    2017       6      10       9      30
       3    2018       6      10       9      30
       3    2019       6      10       9      30
       3    2020       6      10       9      30
       3    2021       6      10       9      30
       3    2022       6      10       9      30
       3    2023       6      10       9      30
       3    2024       6      10       9      30
       4    1968       6      10       9      30
       4    1969       6      10       9      30
       4    1970       6      10       9      30
       4    1971       6      10       9      30
       4    1972       6      10       9      30
       4    1973       6      10       9      30
       4    1974       6      10       9      30
